epoch,train_loss,val_loss,lr,train_top_1_acc,train_top_2_acc,train_top_5_acc,train_mean_target_prob,train_min_target_prob,train_max_target_prob,train_logits_mean,train_logits_std,train_logits_min,train_logits_max,val_top_1_acc,val_top_2_acc,val_top_5_acc,val_mean_target_prob,val_min_target_prob,val_max_target_prob,val_logits_mean,val_logits_std,val_logits_min,val_logits_max
6,3.7267427990998936,3.6862090920147144,0.005,0.22962406260721813,0.3379940202917967,0.5241067198196284,0.053064978563455344,0.034697796870014036,0.07143216026167235,-0.7824159444972593,1.5343921676646461,-4.62620659325118,2.6873027186432923,0.24783534236199084,0.3486568021835943,0.5282940016455316,0.063440740589363,0.042318745640098236,0.08456273542016503,-0.766364082666225,1.564515010492548,-4.74968999608606,2.858151002050799
7,3.7074348942385957,3.669225529620522,0.005,0.23483588478442008,0.3431306876664434,0.5279330795497247,0.0548590167168715,0.035841721171853545,0.07387631226920144,-0.7954651685634915,1.5455206611248509,-4.60074927602235,2.7177470892830886,0.25492679996343265,0.354664298494208,0.5298611745961265,0.06878794404567613,0.045446841451490874,0.09212904680855925,-0.7923064532468471,1.5998063641039055,-4.713652173566507,2.9971536332795505
8,3.695526088987078,3.648099952622464,0.005,0.23790416128874148,0.3461042037675429,0.5309360040518242,0.05607541074168152,0.03661382825875532,0.07553699323361644,-0.8135271217510355,1.559848912106152,-4.647083574361388,2.733950159333798,0.264382076765355,0.35889566546081414,0.5410795209674681,0.07113299848071125,0.04807267653413926,0.09419332033497665,-0.8014985023738059,1.5687447092242324,-4.581250757934503,2.9573091388556723
9,3.6827209859195342,3.6617148455820585,0.005,0.241341676605617,0.3498096622935285,0.5337363373470355,0.05729103938300418,0.03747148104517913,0.0771105977436311,-0.8234341207143382,1.5622865146653977,-4.636920300935759,2.7485353173962945,0.2565984511107338,0.3555131838424469,0.5310365543090726,0.07030832039190607,0.046695282673636644,0.0939213582738225,-0.7988519500073826,1.5681184258884273,-4.703707586839189,2.9546367441214034
10,3.6733582217827982,3.6509640028602197,0.005,0.24431846030682766,0.3532145016092931,0.5371411766628,0.058260000315142564,0.03811428770067795,0.07840571293374099,-0.8400172917951583,1.5731993784284273,-4.734061284861209,2.7609507443108017,0.25812644473756385,0.3610505282678821,0.5333350746366118,0.0714332893118273,0.049060625427185325,0.09380595329514799,-0.8401469902821089,1.6119310880557063,-4.791895971920209,2.9783204835248758
1,3.641211611883981,3.6190680485022697,0.001,0.25257895338768444,0.3610207982747071,0.5442906857058833,0.061162583868400414,0.040370866516835635,0.08195430123001966,-0.8862402851121501,1.6125384246159549,-4.904487557336171,2.7841721965905655,0.2706768881169111,0.37362709119640597,0.5448276762743075,0.07540161371023117,0.05161486377270335,0.09918836396449533,-0.8944767354596344,1.6746158532589965,-5.038904142772709,3.0667163273830806
2,3.6343860135125956,3.6217353971380937,0.001,0.254921822667342,0.3652098616171353,0.5467577237897626,0.061898532442443054,0.04086610361241534,0.08293096126647004,-0.8981928488124826,1.6167024464624145,-4.91578837681454,2.790236385339912,0.2669679121338366,0.37293492314322657,0.5451149913152499,0.07282557305021918,0.049720988352913276,0.09593015760165342,-0.8768913223904541,1.632317551490467,-4.960211096384288,2.987179434767613
3,3.631148935552451,3.6125557861830058,0.001,0.25631382031466987,0.3664809580603526,0.5473197510088715,0.062352548996259735,0.04115769435951266,0.08354740364003066,-0.9030582367710699,1.6145466696262274,-4.9300788525515875,2.7929837030997273,0.2742944456778676,0.37458045474135115,0.5490590432409137,0.07589613670401381,0.05186511825367808,0.09992715532681545,-0.8912285830783678,1.6527560511672672,-4.999103175543065,3.046439131534035
4,3.626806913420211,3.616993988815107,0.001,0.25720914274511086,0.3668371264724623,0.5485941150521999,0.06291211179540997,0.041459420346662335,0.0843648032456207,-0.9090119230388273,1.6162361353557395,-4.928724339766081,2.799176255243477,0.2696974050227893,0.37518120437241254,0.5482362774418513,0.07352766221771541,0.050757505000756126,0.09629781940882456,-0.8820659039445433,1.6256489479803795,-4.92315706180017,2.977825976659209
5,3.622675086968761,3.6152575047392594,0.001,0.25816328197755156,0.3682814057215678,0.5495841978858628,0.06313937013497344,0.04162749254703594,0.0846512477328559,-0.9144707282382938,1.615809716732257,-4.922877026805553,2.7969497240154313,0.2688485196745504,0.3728565644956968,0.5462773112536078,0.07411091196599608,0.051192097037850805,0.09702972734232153,-0.8742140451770997,1.6179071893604335,-4.882184593723386,2.992765877636255
